Most Alike
(-0.9473732773561506, 'Marry_My_Husband')
(-0.9384873078290438, 'Trash_Belongs_in_the_Trash_Can!')
(-0.9329919909032596, 'Unlovable_Replacement')
(-0.9313617217090014, 'Blood_Reverie')
(-0.9303400685683944, 'Phase')
(-0.928782144812789, 'For_My_Derelict_Favorite')
(-0.9283505744088547, 'Sixth_Sense_Kiss')
(-0.9265142372309378, 'Maybe_Meant_to_Be')
(-0.9254878241123073, 'To_The_Stars_and_Back')
(-0.9246440922913438, 'My_Gently_Raised_Beast')
(-0.9230412638135217, 'My_In-Laws_are_Obsessed_with_Me')
(-0.9210614009213958, '+99_Reinforced_Wooden_Stick')
(-0.9209729569665935, 'Operation:_True_Love')
(-0.918121585092765, 'Reunion')
(-0.9161689812149945, 'Suitor_Armor')
(-0.9143907649732453, 'The_First_Night_With_the_Duke')
(-0.9132791105285104, 'My_S-Class_Hunters')
(-0.913193115019798, 'Leveling_Up_My_Husband_to_the_Max')
(-0.9123706096593931, "Jackson's_Diary")
(-0.91175055916435, 'Down_To_Earth')
(-0.9086388299988144, 'LUMINE')
(-0.9073524261444794, 'Eaternal_Nocturnal')
(-0.907000150442868, 'Castle_Swimmer')
(-0.9065266636179384, 'The_God_of_High_School')
(-0.9061651345261955, 'Omniscient_Reader')
(-0.9055449483092886, 'Be_My_Villain')
(-0.9047924039451102, 'Like_Wind_on_a_Dry_Branch')
(-0.9044531241057092, 'The_RUNWAY')
(-0.9011824066496491, 'High_Class_Homos')
(-0.8998049340118776, 'True_Beauty')
(-0.898106220689097, 'Boyfriends.')
(-0.8962346098213088, 'Love_Me_to_Death')
(-0.8949670361550733, 'Homesick')
(-0.8945397265131498, 'The_Advanced_Player_of_the_Tutorial_Tower')
(-0.8932115846686495, 'The_Lazy_Lord_Masters_the_Sword')
(-0.8925512656026626, 'Villain_to_Kill')
(-0.8920881832638441, 'Nice_To_Meet_You')
(-0.8919038813800029, 'Return_to_Player')
(-0.8863709295776054, 'DARK_MOON:_THE_BLOOD_ALTAR')
(-0.886147356410407, 'Not_Even_Bones')
(-0.884847650386555, 'Death:_Rescheduled')
(-0.8840178739207316, 'The_World_After_the_Fall')
(-0.8772303907215001, 'Eleceed')
(-0.8728367108312265, '1HP_Club')
(-0.8685047988130217, 'Everything_is_Fine')
(-0.8481832362559667, 'The_Kiss_Bet')
(-0.8259601835051544, 'Lore_Olympus')
(-0.7955567812976753, 'unOrdinary')
(-0.7862910833526573, 'Batman:_Wayne_Family_Adventures')
Least Alike
