Most Alike
(-0.9509230380047056, 'Marry_My_Husband')
(-0.9498488136705768, 'Trash_Belongs_in_the_Trash_Can!')
(-0.9483626002798718, 'Phase')
(-0.9460209494105903, 'Unlovable_Replacement')
(-0.945568041410203, 'Blood_Reverie')
(-0.9435375180437807, 'Sixth_Sense_Kiss')
(-0.9432910344569974, 'For_My_Derelict_Favorite')
(-0.9417952183076792, 'Maybe_Meant_to_Be')
(-0.9395061901666706, 'True_Beauty')
(-0.9367102887062545, 'Down_To_Earth')
(-0.9353381790431081, 'My_In-Laws_are_Obsessed_with_Me')
(-0.9350984353231322, 'The_First_Night_With_the_Duke')
(-0.9345921046262013, 'Be_My_Villain')
(-0.9318201672335207, 'Villain_to_Kill')
(-0.9314351669241816, 'My_S-Class_Hunters')
(-0.9312681391879172, "Jackson's_Diary")
(-0.9308705222902087, 'Operation:_True_Love')
(-0.9304212985452878, 'Homesick')
(-0.9303585056870656, 'My_Gently_Raised_Beast')
(-0.929732236447701, '+99_Reinforced_Wooden_Stick')
(-0.9268697197936504, 'LUMINE')
(-0.9268086708292909, 'Like_Wind_on_a_Dry_Branch')
(-0.9248713668350582, 'The_Lazy_Lord_Masters_the_Sword')
(-0.9248431880748959, 'Reunion')
(-0.9244542623879128, 'Suitor_Armor')
(-0.9243530437106771, 'DARK_MOON:_THE_BLOOD_ALTAR')
(-0.923244541971618, 'The_God_of_High_School')
(-0.9212959421339061, 'Leveling_Up_My_Husband_to_the_Max')
(-0.9209289078260717, 'Boyfriends.')
(-0.9191984642736072, 'Omniscient_Reader')
(-0.9180000518382336, 'High_Class_Homos')
(-0.9158712502407809, 'Death:_Rescheduled')
(-0.9156399350015425, 'Eaternal_Nocturnal')
(-0.9156355888136535, 'Eleceed')
(-0.9141414912423669, 'The_Advanced_Player_of_the_Tutorial_Tower')
(-0.9138476483117243, 'Castle_Swimmer')
(-0.9112771499189165, '1HP_Club')
(-0.9111445980305781, 'Love_Me_to_Death')
(-0.9106562335654248, 'Not_Even_Bones')
(-0.9084138624705492, 'The_RUNWAY')
(-0.9054606178541912, 'The_World_After_the_Fall')
(-0.9050483243141129, 'Return_to_Player')
(-0.9022624958756283, 'Everything_is_Fine')
(-0.8854648750922838, 'The_Kiss_Bet')
(-0.8759066673468172, 'Batman:_Wayne_Family_Adventures')
(-0.8579701829349492, 'Lore_Olympus')
(-0.8577136571444595, 'Nice_To_Meet_You')
(-0.8294110076522958, 'unOrdinary')
Least Alike
